Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
Music-ai,Informational,6600,"0.35,0.35,0.44,0.54,1.00,0.81,0.54,0.54,0.44,0.54,0.81,0.44",72,0.54,"Sitelinks, Reviews, Related searches"
Logo Design-ai,Commercial,5400,"0.81,0.36,0.66,0.29,0.54,0.36,0.66,0.81,0.36,0.66,0.54,1.00",70,1.39,"Sitelinks, Reviews, Image, Image pack, Video, Discussions and forums, Related searches, Ads top, Ads bottom"
Chemistry-ai,Commercial,3600,"0.10,0.19,0.29,0.44,0.44,0.36,0.23,0.10,0.13,0.44,1.00,0.66",24,1.02,"Sitelinks, Reviews, Video, Related searches, Ads top, Ads bottom"
Physics-ai,Commercial,2400,"0.19,0.24,0.36,0.43,0.54,0.28,0.15,0.15,0.10,0.66,1.00,0.81",23,0.85,"Sitelinks, Reviews, Video, Discussions and forums, Related searches"
Finance-ai,"Informational, Commercial",2400,"0.29,0.29,0.12,1.00,0.16,0.23,0.35,0.19,0.12,0.19,0.44,0.66",47,5.93,"Reviews, People also ask, Top stories, Related searches, Things to know"
Accounting-ai,Commercial,1900,"0.80,0.27,0.66,0.80,1.00,0.44,0.36,0.36,0.24,0.66,1.00,1.00",38,6.52,"Reviews, People also ask, Related searches"
Data Analysis-ai,Informational,1600,"0.13,0.82,1.00,0.20,0.16,0.82,0.30,0.55,0.55,1.00,0.82,1.00",53,11.04,"Reviews, Video carousel, People also ask, Related searches"
Machine Learning-ai,Commercial,1600,"0.44,0.34,0.34,0.30,0.55,0.44,0.82,0.65,0.34,0.55,1.00,0.82",75,4.62,"Sitelinks, Image pack, Video, People also ask, Discussions and forums, Related searches, Ads top"
Copywriting-ai,Informational,1600,"0.05,0.07,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.36,1.00,0.05",58,3.73,"Sitelinks, Reviews, Video, People also ask, Related searches, Things to know, Ads top, Ads bottom"
Project Management-ai,Commercial,1300,"0.52,0.52,0.68,0.68,0.52,0.52,0.52,0.46,0.84,0.68,0.84,1.00",49,7.49,"Sitelinks, Reviews, Video, People also ask, Related searches, Ads top, Ads bottom"
Marketing-ai,Commercial,1300,"0.16,0.24,0.24,0.27,0.27,0.36,0.66,0.27,0.27,0.52,1.00,0.36",72,11.58,"Sitelinks, Reviews, Video, People also ask, Related searches, Things to know, Ads top, Ads bottom"
Translation-ai,Commercial,1300,"0.37,0.68,0.68,0.68,0.68,0.52,0.52,0.68,0.68,0.68,1.00,0.68",70,1.09,"Sitelinks, Reviews, People also ask, Related searches, Things to know"
Cybersecurity-ai,Informational,1000,"0.20,0.55,1.00,0.45,0.62,0.81,0.45,0.36,0.55,0.55,0.81,0.55",58,6.69,"Reviews, Image pack, People also ask, Top stories, Related searches, Things to know"
Graphic Design-ai,"Informational, Commercial",1000,"0.67,0.76,1.00,0.67,1.00,1.00,0.56,0.67,0.76,1.00,0.76,0.67",75,1.83,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches"
Opera-ai,Transactional,1000,"0.67,0.55,0.67,0.76,0.76,0.67,0.55,0.67,0.67,1.00,1.00,0.76",71,0.64,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches, Things to know"
